task,e_0,e_1,e_2,e_3,e_4,e_5,e_6,e_7,e_8,e_9,role,ood_level
task_0,-0.37731768092960194,2.1138823715836583,0.6287679762567724,-0.28842743904340473,0.1360657793700452,-0.21430210503389532,-0.021010308028299913,-0.12926323437895282,-0.03834290557958953,-0.41978836581910867,train,1.330130507276996
task_1,1.5598452190754426,0.37223627656247016,-0.3326013874771467,1.3295612602302855,-0.12080497770984236,-0.2591504241180911,-0.058634969063265145,0.08607087936075865,0.05078835764997023,-0.001774574171822964,train,1.5815183024932808
task_2,-1.4462787611306975,2.5320524272643676,1.6782876469717487,-1.1104771650633796,0.004452484545499533,0.16039739541365228,0.1336059586939756,0.2632329272971664,0.2243466205550204,0.1604089004558605,train,2.563252524843109
task_3,2.5596524452852853,-0.3745196739322437,0.0038915446088238926,1.858496086975816,-0.17974517170511803,0.029928611033794884,0.07026586791684664,-0.12467324763649187,0.1743306073649294,-0.16458045697245513,train,1.5892393269344154
task_4,2.101132406950067,0.09335770312773953,-0.4339352427712263,1.601076562929584,0.24914287322219092,0.12109622793160929,-0.04721372200761899,-0.16288536016902996,-0.10986929800806855,-0.18187846966427543,train,1.950912205335063
task_5,0.939953636513223,0.040896397005932034,1.3842887579276688,1.0341495547352784,-0.16268518680086497,-0.20452073169278764,0.056910091811720416,-0.056876465185882824,0.09630820339077471,-0.29668318972806734,train,2.2849468835808846
task_6,1.5905683368883616,0.4840319557666575,0.22818864707675496,0.8862902408056266,-0.06415193971857065,0.18643043244056054,-0.11028254341501147,0.07518734843511,0.1519108580934556,0.04181112841439997,train,2.2070089880792945
task_7,2.7229817506887866,-1.3198963702965976,-0.31718210891958754,2.3767824980749928,0.241303645203308,-0.04053485880137372,0.12185119949652305,0.07496102172977594,0.07115209468077004,-0.08458858972897086,train,2.535371190666023
task_8,0.6886726795667442,0.9552284640971002,0.68626868049366,0.8842279442817551,0.22782984354473096,-0.053100016912526,-0.12351471089784988,0.019532243123695437,0.1900947967581529,0.04991474658811756,train,1.44775507054814
task_9,-0.38147492854921844,1.979240631830357,0.9100287556113561,-0.19273582238631742,-0.2117833314106841,-0.2815302983810842,-0.15294826063827588,0.025191344310250222,0.08307842490048167,-0.07960118396604361,train,1.094264772727142
task_10,0.343809290001418,0.8269012554665048,1.547747925372307,0.27624161628968874,0.2285495664717791,-0.16425396861403763,0.011884052113591859,-0.041159486028352885,-0.1573487515977731,-0.011268088196074727,train,1.30496703617163
task_11,0.41538973484033065,1.6398845263005246,0.07465153214010994,0.2858532506409387,0.014019124419322676,0.21893839023426312,0.2093029394635432,-0.05384038893633919,-0.08229631922792974,-0.38355819061017876,train,1.0163800490135126
task_12,0.4583991075888178,0.9800091023658295,0.8716085428301759,0.4684880409245083,0.02955283988152141,-0.48465825118789685,-0.040394023462613136,-0.01662760815795105,-0.051189257430987865,-0.03269193931544127,train,1.0385671178686027
task_13,0.14915668957758021,1.133198389217638,0.6258572899644537,0.027229643629209016,-0.01428038088870142,0.041802527509058156,0.08693124233598445,0.08695346687165004,-0.041231631984890195,-0.21241233787828953,train,1.7028555003140007
task_14,1.557988702073025,0.7966261120920837,-0.6444169718792765,1.113913128598416,-0.036780501252779256,-0.05424598977978195,0.1434902896584018,-0.21280888710531787,-0.12981484072727312,-0.2062031956533329,train,1.4228722991117646
task_15,0.7741506317165401,1.2719891814037307,0.4838823284736903,0.6367730585657754,0.15487195736300663,-0.029151409009145254,0.08911053828586049,-0.029866857413587834,0.04363115811373851,0.04194940052369421,train,1.8355344273724679
task_16,0.6985837630528847,0.1373358164354705,0.8373411145866752,0.7068326972227715,0.2794391377657843,0.12525881202168548,-0.10236764012999706,-0.2538078623066934,0.11140293317424274,-0.01208748330644262,train,1.008563523216089
task_17,-1.130972001278061,3.085942782262313,0.8198157423243314,-1.015567640744806,0.1485199342072969,-0.05306315006720238,0.0953914058466884,0.04269045447203346,0.18284787931986393,0.0630269395482542,train,2.1591121305149037
task_18,1.1855469580544504,-0.13036086539828684,0.37478825245795033,1.0084810089136274,-0.12997428056394142,-0.1000211263194779,-0.18767848102097928,-0.17764910077674956,-0.22771619628954878,-0.06917811197050831,train,1.805600121066725
task_19,-0.40013960880750143,1.8334917190364763,0.9963118756113983,0.08175692859615495,0.14337485327507468,-0.13164203799414828,-0.2885573594545689,0.10436809787094115,0.2813700820070453,0.062354180983865096,train,1.8521036853731223
task_20,0.7984146916367242,0.7558894716588056,0.6605331908054106,0.9905651347502327,-0.10565132206931374,0.11259148753027218,0.051395697205384165,-0.018965634556445152,0.17638661577519107,0.10201072993011445,target,0.4277470028120211
task_21,1.460047478854263,0.15533516222692817,0.5675320276341196,1.2895571266460755,-0.037298377557745996,-0.10044707214652869,-0.0020405828513026508,0.10293010290793649,-0.12265024493681215,-0.201953634110586,target,1.107822464549842
task_22,2.3054881321830867,-0.7844127855679857,0.1020275043471585,1.788330400940035,-0.26331027668262097,-0.052291127210776486,-0.02889224786911357,0.06737034200395753,-0.021804531473131553,0.28030896852597126,target,2.0679789770022734
task_23,3.0351031080683226,-1.2235702199896432,-0.3296305487398627,2.3531496452233873,0.021363837751941,0.0811846945796509,0.2010148055304652,-0.2353884191091695,-0.07655143107091811,-0.06716571380283648,target,3.05381785404477
task_24,4.004644297372225,-1.9044662957964231,-0.9362089903175861,2.951913508909764,-0.005053384731140871,0.026962734865697283,-0.1560244321469223,0.2578552021626755,-0.04857896756780194,-0.02824452877405003,target,4.046612153646429
