task,z_0,z_1,z_2,z_3,role,ood_level,embedding_norm
task_0,1.026182353812373,0.6286155557011877,0.28354142213458366,0.9911014079216148,train,1.330130507276996,1.5845773818263735
task_1,-1.5055392607387583,0.61162607876064,0.36673703781376377,-0.3414746267896341,train,1.5815183024932808,1.700539885298624
task_2,2.40146009280498,0.982933391736175,-0.8931488958864382,0.24542168854648852,train,2.563252524843109,2.7551978849725214
task_3,-0.3829413591064495,0.5299208706098236,0.1700140519233313,-1.2325095245217705,train,1.5892393269344154,1.4055051474507085
task_4,-1.2739641852867896,0.5346537481017205,-1.3030817228158464,0.2900529870203593,train,1.950912205335063,1.9211954839028742
task_5,1.7254213310419788,0.05212580880155624,0.10528650012282448,-1.2995963324041553,train,2.2849468835808846,2.1632918767157463
task_6,0.9555809098161039,1.5436637324249156,0.17545281753631958,1.14880832510325,train,2.2070089880792945,2.155591995953075
task_7,-0.9745628247977925,-1.3904214349923292,1.751229296650462,-0.6367438974098074,train,2.535371190666023,2.5209703105549424
task_8,-0.7689205913676525,-0.9110853459236388,-0.6307497092322376,0.15592010571248774,train,1.44775507054814,1.3577450638643185
task_9,0.5769787876593412,-0.9444777440168378,-0.232637538024096,0.7797391419331782,train,1.094264772727142,1.3737015992975259
task_10,1.0319992444925028,0.1126685438445447,0.26196333444371744,0.32418638786389614,train,1.30496703617163,1.118677006143533
task_11,-0.16873636702772407,0.12027129649861283,0.4899779776580357,1.2498865361047622,train,1.0163800490135126,1.3583931382501133
task_12,-0.7116837614004676,-0.4371849341381673,-0.42431089498247976,0.3257472221836448,train,1.0385671178686027,0.99185454137172
task_13,-1.0538023552869948,0.1487630419347346,1.6509359306946905,0.3001331493713048,train,1.7028555003140007,1.9870327630072875
task_14,-1.396552163613021,0.5949395939499847,-0.04066797653074718,0.4953115452193477,train,1.4228722991117646,1.5972784595317955
task_15,-0.8945296517048831,-0.2257118237354929,-1.4320657114628212,0.30133309148489235,train,1.8355344273724679,1.7299546118683637
task_16,0.10451319820135586,-0.5845441597176867,0.6629553819910636,0.20519201033160217,train,1.008563523216089,0.9133610911754309
task_17,0.1896455109784411,1.3031458324717953,-0.30861804005844784,2.0013006432814855,train,2.1591121305149037,2.4154924632404233
task_18,-1.4509850424791622,-1.0024689146149326,0.550852702742703,0.40154571147016915,train,1.805600121066725,1.8907615335590373
task_19,0.6106507662194649,0.37444477303921253,-1.3900382964789952,0.8300707337830587,train,1.8521036853731223,1.7704030996081597
task_20,0.0052820521649602145,0.02678414883944797,0.012153960064077683,-0.040087286569965186,target,0.4277470028120211,0.04999999993908769
task_21,0.4615003057357899,0.5036996872617258,0.698355511033106,0.2135501643855108,target,1.107822464549842,0.9999999998205886
task_22,0.18207355348924703,0.6849397601927264,1.8700886190247659,-0.021801437181826616,target,2.0679789770022734,1.9999999999105549
task_23,0.5733987425347945,2.8852617261274194,0.05693819948939799,-0.5858640581892837,target,3.05381785404477,2.999999999905895
task_24,-0.3808236851862407,-0.3574701919731278,3.4895519100442773,-1.8842016476376977,target,4.046612153646429,3.9999999999003015
