task,z_0,z_1,z_2,z_3,role,ood_level,embedding_norm
task_0,0.6607416141969285,-0.20105277523748494,0.07965752434673753,0.008241542340553283,train,1.330130507276996,0.6952804782010348
task_1,-0.41074994961255884,-0.17497844996308637,-0.14677788274720227,-0.006543003651421344,train,1.5815183024932808,0.47002078339020065
task_2,0.8390639195083501,0.05785498914785246,0.3051220029353776,0.07776124966411835,train,2.563252524843109,0.8980655373716525
task_3,-0.5063830122072848,-0.02022010914352179,-0.034555291178886505,0.11580229023845426,train,1.5892393269344154,0.5209960138415916
task_4,-0.4466688466637089,-0.17043307580648934,-0.02103222840651799,0.08020133623705035,train,1.950912205335063,0.4852165504954471
task_5,-0.1365966023739289,0.4255829714960829,0.054596695289726056,-0.02516469799618079,train,2.2849468835808846,0.4509917500014109
task_6,-0.33527098445389114,-0.00943662947141762,-0.13844043010441442,0.1509534603057413,train,2.2070089880792945,0.39299921483157496
task_7,-0.614536103403506,0.016359155154279218,0.11768357915788208,0.11987115614895642,train,2.535371190666023,0.6372917410602646
task_8,0.12702242443637493,0.07678642441251744,-0.1678767535590996,-0.10178771127250258,train,1.44775507054814,0.24611825173154234
task_9,0.7320461939630313,-0.04954650197800564,0.08924707779305974,0.03069638978998517,train,1.094264772727142,0.7397660408499135
task_10,0.366137545174429,0.26361792304642245,-0.003505508898235828,-0.040421521797539155,train,1.30496703617163,0.4529870851964006
task_11,0.31895588785522294,-0.2588899911810496,-0.20806687719862652,-0.049264615286136376,train,1.0163800490135126,0.4631152271710755
task_12,0.30440418639605604,0.15972815889642242,-0.14537746808474,-0.057660822990100155,train,1.0385671178686027,0.3776696601191455
task_13,0.5077092393378247,-0.0019293566827480485,-0.08470352755499246,-0.009285168060536654,train,1.7028555003140007,0.5148138460185133
task_14,-0.25886518662205293,-0.3785903207009151,-0.14552863201591731,-0.01815022143414098,train,1.4228722991117646,0.4815078701826427
task_15,0.11868076822946495,-0.08497927573647776,-0.24223151403502352,-0.07724195773013046,train,1.8355344273724679,0.29317064736756193
task_16,-0.06989864988698809,0.3239263559968743,-0.059003862409302485,0.04334605540281886,train,1.008563523216089,0.33937360189566546
task_17,0.7781618388447772,-0.16369219631270626,0.20179369818656565,0.059271313449432594,train,2.1591121305149037,0.8225355723576909
task_18,-0.3545756852740587,0.10727508172208419,-0.07492398799577235,0.07430942265110925,train,1.805600121066725,0.3851848309811537
task_19,0.6700471452341753,0.0017930240123370405,0.03817540773583325,-0.022928795279197535,train,1.8521036853731223,0.6715277233147782
task_20,-0.07754309535526695,0.15713060121204583,-0.2068105273540939,-0.04663561193617669,target,0.4277470028120211,0.2750426003361572
task_21,-0.39358736946201434,0.08747031489896188,-0.025955639581169213,-0.0019382718133500163,target,1.107822464549842,0.40402911468388225
task_22,-0.6164393522244644,0.0024719758919100705,0.2505208442294682,-0.06330102495493851,target,2.0679789770022734,0.6684095292479894
task_23,-0.5633949061149158,-0.04072393173472318,0.22682462669882103,-0.1127986893942386,target,3.05381785404477,0.6190680208654673
task_24,-0.6384610195219936,-0.12552436193916572,0.3411686747505234,-0.12733210263163053,target,4.046612153646429,0.7456529808704039
