task,z_0,z_1,z_2,z_3,role,ood_level,embedding_norm
task_0,-0.08736352378080031,-0.13378758284671233,1.1190519124346654,-1.8947359694556971,train,1.330130507276996,2.206316631692801
task_1,-1.1276537293751376,-0.35844974292600545,0.9968047632776827,1.2194859894123813,train,1.5815183024932808,1.9699885700286557
task_2,-0.3131595032815707,-0.5041330979398321,0.6661653405242505,0.5368768453061206,train,2.563252524843109,1.0412646459357078
task_3,1.0632073483529767,0.5324467260239936,-0.3310825615523146,0.6033251627340757,train,1.5892393269344154,1.3738727365362406
task_4,0.758751871576816,0.2715003653656503,0.04493931754765465,0.6544104450332271,train,1.950912205335063,1.039081047775022
task_5,-0.2849764112361394,0.5275959578455923,-0.5365960220871125,-0.09943798002845022,train,2.2849468835808846,0.8107972943269414
task_6,0.10369603477698708,-1.5393392986945094,1.0016781974719406,-0.9043618163051603,train,2.2070089880792945,2.0497677551896407
task_7,-0.37015552528967877,0.33234104174404777,0.27985591199001736,-1.081596164398394,train,2.535371190666023,1.2229616818392468
task_8,0.6788470928491431,-0.7703707096675722,0.16229491216429312,0.03978870668772923,train,1.44775507054814,1.040301487780225
task_9,-0.07136588340566742,0.4680186753180313,0.08192197991598217,0.1459632514645176,train,1.094264772727142,0.5021464441098481
task_10,2.5306932371656172,-1.5184182370425534,-0.0702383437079544,0.5605239852112545,train,1.30496703617163,3.0048498741439897
task_11,0.09754714525216036,-0.3642802997834283,2.370638415517239,1.388627453994406,train,1.0163800490135126,2.7731621455425612
task_12,-0.14534789324959868,-0.0493691592297617,-0.36182883033370755,0.8589474073545091,train,1.0385671178686027,0.944602601635652
task_13,2.530277099348697,-0.6778444918872835,-0.4390910702305532,0.9977712426886043,train,1.7028555003140007,2.8372740042799816
task_14,-0.4026032090259558,-0.3520560472055014,0.12656936579718733,0.9232389731611569,train,1.4228722991117646,1.0744406964620845
task_15,0.7205794486160249,0.046851382227607395,-0.12403051730001886,0.69930339127018,train,1.8355344273724679,1.0128369049595776
task_16,2.356032973982962,-0.8069486475884718,-0.11554252173569818,1.0161240501756648,train,1.008563523216089,2.69219532241149
task_17,-0.42793176585095993,1.1380921654682505,-0.019829995582984646,-1.1355906606235002,train,2.1591121305149037,1.6638325488295604
task_18,0.7906874412393606,0.09874222910106754,0.08701930231184643,0.2676022423799653,train,1.805600121066725,0.8450561973283914
task_19,-0.9246698095568905,1.07439356244357,-1.2160651739765793,1.0574880301265284,train,1.8521036853731223,2.1462598223294718
task_20,-0.30592021330492675,-0.8786690634877009,-0.8834740981217379,-1.0640394499094994,target,0.4277470028120211,1.666839204318945
task_21,-0.10943543731826862,0.41339235664173374,-0.5152023456399958,-0.5705323464509064,target,1.107822464549842,0.8796646922382289
task_22,1.0434518407465871,-0.22746157948686252,2.261856255041127,0.33259428887709774,target,2.0679789770022734,2.523319875394801
task_23,-0.180336933266665,0.4781994593386826,0.7547873871848388,1.004818672237578,target,3.05381785404477,1.3566726562964402
task_24,-0.8441593980200673,-1.444828169515828,-2.334671976619875,0.9020010647531362,target,4.046612153646429,3.010719629577289
