task,z_0,z_1,z_2,z_3,role,ood_level,embedding_norm
task_0,0.0,0.0,0.0,0.0,train,1.330130507276996,0.0
task_1,0.0,0.0,0.0,0.0,train,1.5815183024932808,0.0
task_2,0.0,0.0,0.0,0.0,train,2.563252524843109,0.0
task_3,0.0,0.0,0.0,0.0,train,1.5892393269344154,0.0
task_4,0.0,0.0,0.0,0.0,train,1.950912205335063,0.0
task_5,0.0,0.0,0.0,0.0,train,2.2849468835808846,0.0
task_6,0.0,0.0,0.0,0.0,train,2.2070089880792945,0.0
task_7,0.0,0.0,0.0,0.0,train,2.535371190666023,0.0
task_8,0.0,0.0,0.0,0.0,train,1.44775507054814,0.0
task_9,0.0,0.0,0.0,0.0,train,1.094264772727142,0.0
task_10,0.0,0.0,0.0,0.0,train,1.30496703617163,0.0
task_11,0.0,0.0,0.0,0.0,train,1.0163800490135126,0.0
task_12,0.0,0.0,0.0,0.0,train,1.0385671178686027,0.0
task_13,0.0,0.0,0.0,0.0,train,1.7028555003140007,0.0
task_14,0.0,0.0,0.0,0.0,train,1.4228722991117646,0.0
task_15,0.0,0.0,0.0,0.0,train,1.8355344273724679,0.0
task_16,0.0,0.0,0.0,0.0,train,1.008563523216089,0.0
task_17,0.0,0.0,0.0,0.0,train,2.1591121305149037,0.0
task_18,0.0,0.0,0.0,0.0,train,1.805600121066725,0.0
task_19,0.0,0.0,0.0,0.0,train,1.8521036853731223,0.0
task_20,0.0,0.0,0.0,0.0,target,0.4277470028120211,0.0
task_21,0.0,0.0,0.0,0.0,target,1.107822464549842,0.0
task_22,0.0,0.0,0.0,0.0,target,2.0679789770022734,0.0
task_23,0.0,0.0,0.0,0.0,target,3.05381785404477,0.0
task_24,0.0,0.0,0.0,0.0,target,4.046612153646429,0.0
